PassengerId,Survived,Sex_male,Embarked_Q,Embarked_S,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Unknown,Pclass_2,Pclass_3,Title_Col,Title_Don,Title_Dona,Title_Dr,Title_Jonkheer,Title_Lady,Title_Major,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rev,Title_Sir,Title_the Countess,Family,Is_Alone,Family_normalized,tariff_standardized,Norm_Age
1,0.0,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,False,0.1,-0.3081457021626061,-0.5717557767015631
2,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,False,0.1,2.4307546879277306,0.6035511742774098
3,1.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,True,0.0,-0.27927388447851087,-0.2779290389568198
4,1.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,False,0.1,1.6529992471940873,0.3831811209688524
5,0.0,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,True,0.0,-0.27392725157404874,0.3831811209688524
6,0.0,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,True,0.0,-0.2564630098549138,1.3910068314333215
7,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,True,0.0,1.6000675814399123,1.7788581252563826
8,0.0,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,4,False,0.4,0.28319189707090064,-2.040889465425279
9,1.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2,False,0.2,-0.14204506569942515,-0.20447235452063403
10,1.0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,False,0.1,0.667969819326581,-1.1594092521910495
11,1.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2,False,0.2,0.0960597454147276,-1.8939760965529076
12,1.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,True,0.0,0.5173744182863401,2.072684863001126
13,0.0,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,True,0.0,-0.27392725157404874,-0.7186691455739347
14,0.0,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,6,False,0.6000000000000001,0.7194771420750069,0.6770078587135956
15,0.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,True,0.0,-0.2823022173555982,-1.1594092521910495
16,1.0,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,True,0.0,0.06611860114973994,1.8523148096925683
17,0.0,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5,False,0.5,0.6275150561182591,-2.040889465425279
18,1.0,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,True,0.0,-0.06220058855735014,1.1743096123465737
19,0.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,False,0.1,0.15166472762113334,0.08935438322410919
20,1.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,True,0.0,-0.30921502874349854,0.46435075727083747
21,0.0,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,True,0.0,0.49384923350670684,0.3831811209688524
22,1.0,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,True,0.0,-0.06220058855735014,0.30972443653266657
23,1.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,True,0.0,-0.2748169312893513,-1.0859525677548636
24,1.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,True,0.0,0.9001933342458255,-0.13101567008444823
25,0.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4,False,0.4,0.28319189707090064,-1.6001493588081643
26,1.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6,False,0.6000000000000001,0.7242891116890228,0.6035511742774098
27,0.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,True,0.0,-0.30921502874349854,-0.16737672888036026
28,0.0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,5,False,0.5,10.631065220366823,-0.7921258300101204
29,1.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,True,0.0,-0.28123289077470576,-0.8325270064500226
30,0.0,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,True,0.0,-0.28052285792499315,-0.4141911885859445
31,0.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,True,0.0,0.5674531207226937,0.7504645431497814
32,1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,False,0.1,5.648893033123461,0.7085942330211554
33,1.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,True,0.0,-0.28675917054475775,-0.8387708246270985
34,0.0,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,True,0.0,-0.16913324664659188,2.6603383384906123
35,0.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,False,0.1,2.8964464139063786,-0.13101567008444823
36,0.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,False,0.1,1.605948877634821,0.897377912022153
37,1.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,True,0.0,-0.30903538187790863,-0.31171911379746536
38,0.0,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,True,0.0,-0.27392725157404874,-0.6452124611377489
39,0.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2,False,0.2,0.15166472762113334,-0.8655825144463062
40,1.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,False,0.1,-0.13740846564467565,-1.1594092521910495
41,0.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,False,0.1,-0.212975636463181,0.7504645431497814
42,0.0,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,False,0.1,0.2799839173282234,-0.20447235452063403
43,0.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,True,0.0,-0.28052285792499315,-0.33375611912832115
44,1.0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3,False,0.30000000000000004,1.1602193402682728,-1.9674327809890932
45,1.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,True,0.0,-0.28123289077470576,-0.7921258300101204
46,0.0,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,True,0.0,-0.27392725157404874,-0.5699193595906585
